Latitude,Longitude,text,person
11.50702, 3.89035,"Faire un aller et retour au Maroc 🇲🇦 en un après-midi à travers les papilles était une très bonne idée en ce dimanche! 
Je n’avais jamais mangé de couscous royale avant et quad j’ai vu le post sur Facebook je me… https://t.co/GoIxlckOKU",JOOOOO ❤️🔥😌🇨🇲
11.51613962, 3.86452343,"About tonight...
 The Hilton Hotel showed us what they meant by « 100 years of hospitality » 

We had a great time!

#hilton100 #yaounde #hiltonyaounde #nightout #thehairlover #blogger #blogueuse #instagram… https://t.co/7lN9Q44cTt",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Bun life!

FR/ le chignon qu'il  soit bas ou haut reste et demeure ma coiffure préférée  pour  aller au boulot  ou même  sortir le soir. C'est facile à réaliser et ça a son charme surtout… https://t.co/6GfvyqnBAq",JOOOOO ❤️🔥😌🇨🇲
9.7, 4.05028,"Le bonheur se résume à peu de choses et s'entourer de personnes bienveillantes et positives est essentiel  pour le vivre. 
Jai passé un merveilleux weekend les gens 😘

Je vous souhaite une… https://t.co/BuW05o4fnG",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,FR/ 2 mois post defrisage et  les repousses sont déjà bien présentes et au niveau des longueurs la texture  s'améliore  petit à petit et ces reflets auburn on en parle? 😍 Il faut vraiment… https://t.co/nrvPnNthzc,JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"FR/ Une belle coiffure commence par de beaux cheveux... Ce matin je me suis retrouvée à devoir me coiffer en moins de 5 minutes parce que j'étais déjà en retard. J'ai fait un chignon bas,… https://t.co/gkYutyNbgL",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Helloo  les filles! 

Que faites vous en ce beau dimanche??

Moi  je suis en plein  prepoo et je vous  montre dans cette vidéo comment je l'ai  préparé mon prepoo  au chebe!
Vous  vous… https://t.co/93DUlCJFXN",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Happy Valentine' DAY à vous!

Je vous souhaite  de VOUS aimer encore plus car personne ne le fera à votre place.

Earrings from bougiiy 😍😍
Top from  topshop_by_bellange… https://t.co/NhaQi3keto",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"IDEE COIFFURE 

FR/ Quand tu as un #BraidOut  vieux de 5 jours mais il  faut  te coiffer en urgence...pour changer du #chignon , 2 nattes  bien lâches m'ont paru  être une bonne idée.… https://t.co/i1Ef2UMFVG",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"💖
FR/ la raie au milieu...Je ne me rappelle pas l'avoir déjà  portée pour la simple raison que j'estimais ( allez savoir pourquoi 🙄) que ca ne m'irait pas de part la fort de mon visage.… https://t.co/RfNizYY6yE",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Et voilà!! 
Qui dit dimanche dit #soinscheveux pour moi  désormais. J'avais un peu abandonné mais je suis totalement de retour là. 
Et cette  natte..on en parle? Le volume jusqu'aux… https://t.co/O03MSHZRcM",JOOOOO ❤️🔥😌🇨🇲
11.51613962, 3.86452343,"Nothing To say...i just  love my dessus from @mariechantal92

#maxidress #ankarazone #ankara #pagne #belleenpagne #africa #africaprint #robe #wrapdress #notahairpost #pagneafricain… https://t.co/jGDxz1JLni",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"I love me some fragrance mists!

De toutes les brumes parfumées  que j'ai testé jusqu'à  présent  j'ai  une préférence pour celles de chez victoriasecrets, non  seulement  parce qu'elles… https://t.co/iCQqDFauk7",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Thank God is Fridayyy #tgif #tgifridays #africanprint #africanwoman #africanwear #selfie #mirrorselfie #cameroon #team237 #blogger #blogueuse #Yaounde @ Yaoundé, Cameroon https://t.co/krzXeGLVQj",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"From where i stand... I love this town 🔥
#Yaounde #cameroon #cameroun #africa #everydayafrica #dynamicafrica #nightmode #photoshoot #samsungs8 #instagram #instapic #nightview #nightviews… https://t.co/kedUnwEogV",JOOOOO ❤️🔥😌🇨🇲
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/x7UolevSjn",JOOOOO ❤️🔥😌🇨🇲
11.51613962, 3.86452343,"Mood. 
Snap: @joorynhairlover
Ce filtre est mon  préféré  sur snap je trouve  qu'il me représente tellement 😁😄
Necklace from mak_bijoux_africains 
Earings  from enmodeslayyy237
#earrings… https://t.co/qdtNq8gjVL",JOOOOO ❤️🔥😌🇨🇲
11.51945271, 3.86216934,"I'm at Le Bois D'Ebene in Yaounde, Centre https://t.co/27h9SudRIp https://t.co/QGdcuD2Txc",JOOOOO ❤️🔥😌🇨🇲
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/mToZ4kKLmm",JOOOOO ❤️🔥😌🇨🇲
11.51628387, 3.86185615,#FetedelaMusique (@ Musée National in Yaoundé) https://t.co/gdPgtO85xM,JOOOOO ❤️🔥😌🇨🇲
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/Y3baGNsKCY",JOOOOO ❤️🔥😌🇨🇲
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/4EMXmCKsgS",JOOOOO ❤️🔥😌🇨🇲
11.467532, 3.8706305,"I'm at Canal Olympia in Yaounde, Centre https://t.co/zuocMWDmEI",JOOOOO ❤️🔥😌🇨🇲
11.51610012, 3.88784085,I'm at Casino Supermaché Bastos in Yaoundé https://t.co/O0dbvNC2O2,JOOOOO ❤️🔥😌🇨🇲
11.467532, 3.8706305,"#RedSparrow (@ Canal Olympia in Yaounde, Centre) https://t.co/4DkIwPa16b",JOOOOO ❤️🔥😌🇨🇲
9.70359556, 4.02718836,I'm at Vignoteque in Douala https://t.co/uwYoyTmuyg,JOOOOO ❤️🔥😌🇨🇲
9.75703466, 4.0852439,I'm at Makepe Rhône Poulain https://t.co/M9fvAfIe7l,JOOOOO ❤️🔥😌🇨🇲
11.52716156, 3.9235599,I'm at Boulangerie patisserie Le Fournil in Yaoundé https://t.co/5jlBI92fOT https://t.co/0JeqC80gRC,JOOOOO ❤️🔥😌🇨🇲
11.51938826, 3.86841403,I'm at Maison Du Café https://t.co/YUl01j2asJ,JOOOOO ❤️🔥😌🇨🇲
11.51431935, 3.86802066,I'm at Les Cascades du Mfoundi in Yaoundé https://t.co/rDDDczTqcm,JOOOOO ❤️🔥😌🇨🇲
11.51574556, 3.87029227,I'm at La Falaise Hotel https://t.co/LnqLQWXKBP,JOOOOO ❤️🔥😌🇨🇲
11.535467, 4.167215,"I'm at Pimenterie Okali d'Obala in Obala, Centre https://t.co/Vu4bgFKo2W https://t.co/nMqw8O88vh",JOOOOO ❤️🔥😌🇨🇲
11.50846, 3.88505,"#highbun  is  always  a goood idea 😍
#healthyhair #hairstyles  #bun #bigbun #relaxedhair… https://t.co/PGHc7yWPDO",JOOOOO ❤️🔥😌🇨🇲
11.511907, 3.8924131,"I'm at P'tite Faim in Yaounde, Centre https://t.co/Bx1FaVxvqu",JOOOOO ❤️🔥😌🇨🇲
11.51938826, 3.86841403,I'm at Maison Du Café https://t.co/Mdgs49N9aO,JOOOOO ❤️🔥😌🇨🇲
11.52382855, 3.88218778,"I'm at Selecte (Etoa-Meki) in Yaounde, Cameroun https://t.co/rAggdK15tC",JOOOOO ❤️🔥😌🇨🇲
11.51750212, 3.89051813,I'm at Le Wenge https://t.co/cFfzifHlFs,JOOOOO ❤️🔥😌🇨🇲
11.51738823, 3.87131958,I'm at Calafatas https://t.co/2uzOH03col,JOOOOO ❤️🔥😌🇨🇲
11.51631512, 3.87062816,#Chomacam (@ Smile) https://t.co/JHiJMBi6rx,JOOOOO ❤️🔥😌🇨🇲
11.467532, 3.8706305,"I'm at Canal Olympia in Yaounde, Centre https://t.co/NBhkAQp2z7",JOOOOO ❤️🔥😌🇨🇲
11.49912057, 3.86319412,I'm at E.N.S. Polytechnique Yaoundé https://t.co/R1zdS8jocT,JOOOOO ❤️🔥😌🇨🇲
11.51610012, 3.88784085,I'm at Casino Supermaché Bastos in Yaoundé https://t.co/8HCX4jmI89,JOOOOO ❤️🔥😌🇨🇲
11.547571, 3.714954,I'm at Coffee Point in Centre https://t.co/MKhPoYZAFd https://t.co/eKut6ZELvF,JOOOOO ❤️🔥😌🇨🇲
11.48741922, 3.86433531,I'm at Parc Zoo-Botanique de Mvog-Betsi https://t.co/B7yggi5OA9,JOOOOO ❤️🔥😌🇨🇲
11.52008825, 3.89255352,I'm at MTN Agence VIP in Yaoundé https://t.co/rrXwAPqjm0,JOOOOO ❤️🔥😌🇨🇲
38.4584684, 7.0497061,https://t.co/4fQC1oC1C4,Abiy Taddele (kiya)
38.7653, 8.995,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/HAmTqrJcqJ",Abiy Taddele (kiya)
38.74, 9.03,"We are honored to welcome dear #Pastor_Genene_Maseresha Form #Generation_for_Christ  Church South Africa.

We love &amp; respect! @ New Creation International Church https://t.co/2xT9YnlOKI",Abiy Taddele (kiya)
38.73694444, 9.02722222,"#ልብ_ይጠበቅ!

ከብሔራዊ ባንክ ይልቅ የብሔራዊ ቤተ መንግስት ጥበቃ ጥብቅ… https://t.co/gvIryo6PxK",Abiy Taddele (kiya)
38.7653, 8.995,"#ይቅርታ
```````````
ይቅርታ ቅድመ ሁኔታ የለውም!

እግዚአብሔር… https://t.co/tgweU5Zbb1",Abiy Taddele (kiya)
38.7653, 8.995,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/ZdEzYrziiZ",Abiy Taddele (kiya)
38.7653, 8.995,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/DBmZnkgBTh",Abiy Taddele (kiya)
38.7653, 8.995,"#Abiy_Taddele #kiya_talk_show @ Addis Ababa, Ethiopia https://t.co/9IB60YlgC0",Abiy Taddele (kiya)
38.75196962, 9.01459536,"John 3:16

For God so loved the world, that he gave his only… https://t.co/r4awOc9euO",Abiy Taddele (kiya)
38.7653, 8.995,"Congregation to our dear bro Esayas and Tsion @ Addis Ababa, Ethiopia https://t.co/DLel8GAvfF",Abiy Taddele (kiya)
38.7653, 8.995,"""#ብቃታችን #ከእግዚአብሔር ነው እንጂ፥ በገዛ እጃችን እንደሚሆን አንዳችን እንኳ ልናስብ ራሳችን የበቃን አይደለንም፤""   2ቆሮ 3፥5

""Not that… https://t.co/o2pB4PhFNL",Abiy Taddele (kiya)
38.7653, 8.995,"Congregation! to our dear brother Esayas  Alemu @ Addis Ababa, Ethiopia https://t.co/iE23HHbN0r",Abiy Taddele (kiya)
38.75196962, 9.01459536,"#ተነስቷል!
#kiya_talk_show 
#Abiy_Taddele @ New Creation International Church https://t.co/ECjDsRYDVR",Abiy Taddele (kiya)
38.7653, 8.995,"""#ህይወት ያለው #በእግዚአብሔር_ቃል ነው እንጂ በአሮጊቶች ተረት… https://t.co/ncakcBFZ8d",Abiy Taddele (kiya)
38.75196962, 9.01459536,"#Coming_soon!
Amazing life testimony!
#NCIC_Eagle_Band
#kiya_talk_show #Abiy_Taddele @ New… https://t.co/jYj9GLkWsb",Abiy Taddele (kiya)
38.7653, 8.995,"#ETHIOPIA
#አማኝ ከሆንክ በ#ፍቅር ተገለጥ!
እምነትህ ያለ ፍቅር ከንቱ ነው።
#kiya_talk_show
#Abiy_Taddele @ Addis… https://t.co/MTOl9NkN4O",Abiy Taddele (kiya)
