Latitude,Longitude,text,person
 9.01459536,38.75196962,"Psalm 1:1―3 ""#Blessed  is he man that walketh not in the counsel of the ungodly, nor standeth in… https://t.co/olEZdZDRC6",Abiy Taddele (kiya)
 9.01459536,38.75196962,"#የአዲስ_ኪዳን_መስታወት
  ===============
""#እርስ_በርሳችሁ_ትዋደዱ_ዘንድ፥ እንደ ወደድኋችሁ እናንተ ደግሞ እርስ በርሳችሁ ትዋደዱ ዘንድ… https://t.co/DK1eUcSJ6w",Abiy Taddele (kiya)
 9.01459536,38.75196962,"#የወደቀን_ሰይጣን ማሞካሸት እና የእርሱን ስራ ማገዝ #አይበቃም?
Devil you are defeated and you are a layer! @ New… https://t.co/E9Y1TVYTFB",Abiy Taddele (kiya)
 9.03,38.74,Just posted a photo @ Sapphire Addis Hotel https://t.co/yfIV3Ixxhy,Abiy Taddele (kiya)
 9.03,38.74,"ይህ ፀሎት ዛሬ በጌታ #በኢየሱስ_ክርስቶስ ስም በብዙዎቻችን ላይ ይፈፀም!
#አሜን @ Addis Ababa, Ethiopia https://t.co/K2NOW7LWEQ",Abiy Taddele (kiya)
 9.03,38.74,"#ተልኮህን_አትርሳ።
#ወንጌል ወደ ውስጥ ሳይሆን ወደ ውጪ ነው! ወደ ውጪ ማብሰር ስታቆም ወደ ውስጥ መነካከስ ትጀምራለህ! @ Addis Ababa,… https://t.co/s82zw9YfTF",Abiy Taddele (kiya)
 9.03,38.74,"ዛሬ ለአንድ ሰው እግዚአብሔር እንዲህ እየተሟገተ ነው። አሜን የሚል ሆኖለታል። @ Addis Ababa, Ethiopia https://t.co/PPLWrLgipT",Abiy Taddele (kiya)
 9.03,38.74,"""#ኤርሚያስ ዘለቀ 50 ዓመት ባልሞላ እድሜው የ10 ሰው ያክል የኖረ ሰው ነው"" #ፓ/ር ዮናታን_ተፍኪ
""#ኤርሚያስ_ዘለቀ አስተማሪ ሳይሆን ትምህርት ቤት… https://t.co/prhzEXZWF7",Abiy Taddele (kiya)
 9.03,38.74,"#Wedding_Vibe
Congratulations
#Mili_&amp;_Hiwot @ Addis Ababa, Ethiopia https://t.co/Mos3In9B7e",Abiy Taddele (kiya)
 9.03,38.74,"ትኩረቴ ኢየሱስ ላይ ብቻ ነው።
ትኩረትህን ከኢየሱስ ላይ ስታነሳ ማስተዋል ይሳንሃል። በመንፈስ ሳይሆን በስጋ መራመድ… https://t.co/AYV5WtFdas",Abiy Taddele (kiya)
 9.03,38.74,"""እግዚአብሔር እረኛዬ ነው፥ የሚያሳጣኝም የለም። በለመለመ መስክ ያሳድረኛል፤ በዕረፍት ውኃ ዘንድ ይመራኛል። ነፍሴን መለሳት፥ ስለ ስሙም በጽድቅ መንገድ… https://t.co/skMYmZ2VIB",Abiy Taddele (kiya)
 8.99584855,38.78588968,"ኤፌ 2፥6―7
በሚመጡ ዘመናትም በክርስቶስ ኢየሱስ ለእኛ ባለው ቸርነት ከሁሉ የሚበልጠውን የጸጋውን ባለ ጠግነት ያሳይ ዘንድ፥ ከእርሱ ጋር አስነሣን… https://t.co/WWCQfjZhtE",Abiy Taddele (kiya)
 9.03,38.74,"Rom 8:1
There is therefore now no condemnation to them which are in Christ Jesus, who walk not… https://t.co/3LA0kFTLjs",Abiy Taddele (kiya)
 8.995,38.7653,"...tell me if you don't want to warm yourself under Addis sun and feel the traffic rash @la_patisserie_addis 
#coffeeculture #coffeelovers #coffeeroaster #coffeeshop #coffee #coffeelover #morning #traffic https://t.co/FiuyUuiXvI",welowithcoffee☕️
 9.00995216,38.85162608,"Saturday flames 
@mikaeltamerat #coffeeroaster #coffeeshop #coffee #coffeeculture #coffeelovers #ethiopiancoffee #ethiopia #saturday #addisababa #mocha #mochacoffee @ Semit, Addis Ababa https://t.co/l3GrwGjhdM",welowithcoffee☕️
 8.995,38.7653,"Blessed week !! Let the storm seize.
@aradacoffeehouse passing  by old Bambis
#mondaymood #mondaycoffee #mondaymotivation #operacake #macchiato #baresta #coffeeshop #coffee #war #peace #addisababa #ethiopia https://t.co/Pgv5t9Hsmw",welowithcoffee☕️
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Kotebe Kidanemeret https://t.co/1MzxDxRR0a",welowithcoffee☕️
 9.0131139,38.7833718,Me http://t.co/8Ilmi9PPGe,መርዕድ ብሥራት ፍቅረዬሐንስ 🇪🇹 Mered Besrat Fikireyohannes
 9.0131075,38.7833781,The picture that tells the current situation in Ethiopia. http://t.co/S0yUEuxyo6,መርዕድ ብሥራት ፍቅረዬሐንስ 🇪🇹 Mered Besrat Fikireyohannes
 9.0046314,38.7803453,@richardbranson V for vendetta,መርዕድ ብሥራት ፍቅረዬሐንስ 🇪🇹 Mered Besrat Fikireyohannes
 9.0182656,38.7865116,"""@2014Lincoln: LINCOLN UNIVERSITY EXTENSION ETHIOPIA 
BA in Business Administration Only limited seats, reserve your spot now! 0911-194050""",መርዕድ ብሥራት ፍቅረዬሐንስ 🇪🇹 Mered Besrat Fikireyohannes
 8.995,38.7653,"|| FACELESS ||

A spark of hope that survives beneath the covers of chaos shall prevail.

Shot for: guayamedia_ 

#Faceless #guayamedia #eyesofammi #staysafe @ Addis Ababa, Ethiopia https://t.co/ObEBjs3WsV",Ammi.
 8.995,38.7653,"gold | mirror | @kebron_kel 💫

Less perfection more authenticity

#makeportraits #eyesofammi @ Addis Ababa, Ethiopia https://t.co/t8Xj0dDrlr",Ammi.
 9.00005708,38.74432268,"@NiilaateLartey please check the AU Commission Website, click resources &amp; then news.",Hanna Tetteh
 9.00003974,38.74433461,"The two scientists receive grants of US$100,000 each to continue their research.",Hanna Tetteh
 8.99993042,38.74426707,The AU established the Kwame Nkrumah Scientific Awards of the AU is to keep Science/ technology at the top of the African agenda.,Hanna Tetteh
 9.00008233,38.74457077,"Two West African Scientists are awarded the Kwame Nkrumah Scientific Awards. Professor Adebowale (Nigeria), Professor Bationo (Burkina Faso)",Hanna Tetteh
 9.0,38.744377,Hanna S. Tetteh's Location (still at the AU Executive Council mtg. It's 7.10 pm. Long Day!) http://t.co/QNIakWyXiv,Hanna Tetteh
 9.00012354,38.74433272,"@Ninaitwa_Carmen it's not about black or white. There are British, French, American &amp; others of African origin. Colour is not an issue.",Hanna Tetteh
 9.00054645,38.74427103,"@kobbrown  we have a nation to grow &amp; protect. We have infrastructure to develop, have lower travel costs, etc. It's not just about visa's.",Hanna Tetteh
 9.00017519,38.74433928,@kajsaha have you read anything on Ghana &amp; Tourism Development/ Tourism Policy or is your comment only based on the issue of visa's?,Hanna Tetteh
 9.00014885,38.74429012,"@kajsaha for those who want to visit Ghana, apply for a visa, &amp; enter legally our doors are open. Believe it or not a number of people do.",Hanna Tetteh
 9.00010938,38.74428883,@kajsaha I'm sure you know that issues of visa's are not just a matter of tourism policy. For now your friend requires an invitation letter,Hanna Tetteh
 9.00011873,38.74431997,@kajsaha as you retweet my responses kindly retweet the one on bilateral agreements. Reciprocity is an indication of mutual respect.,Hanna Tetteh
 9.00021214,38.74427583,@kajsaha do you have any idea what Ghanaian citizens have to go through to get visa's to travel to any country outside of Africa?,Hanna Tetteh
 9.00009758,38.74432048,"@kajsaha @sondy but are you a Ghanaian citizen? If yes my apologies, if no where do you come from?",Hanna Tetteh
 9.00010007,38.74434629,@sondy @kajsaha when Ghanaians have to apply for visa's to enter your countries to spend their own money does it make your country look bad?,Hanna Tetteh
 9.00013194,38.74435416,"@sondy @kajsaha giving Ghanaians an opportunity to enter your countries without paying visa fees, showing bank statements etc would be great",Hanna Tetteh
 9.00012622,38.74432781,@sondy @kajsaha I'm sure you would be aware that Ghanaian tourists also want to travel to your countries to spend money.,Hanna Tetteh
 9.00013974,38.7443424,"@sondy that is, if a country wants to allow Ghanaian tourists to enter without visa's we can consider their nationals for same treatment",Hanna Tetteh
 9.00009079,38.74433901,@sondy we can have visa free travel when there are bilateral agreements between our countries giving Ghanaians the same treatment you want,Hanna Tetteh
 9.016298,38.7656663,Just posted a photo @ Radisson Blu Hotel Addis Ababa https://t.co/PaWBMYsaWk,Tesfa Dagnachew 🇪🇹 💚💛❤️
 9.016298,38.7656663,Just posted a photo @ Radisson Blu Hotel Addis Ababa https://t.co/spO0Msm2zc,Tesfa Dagnachew 🇪🇹 💚💛❤️
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/wfS6GTj9VG,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/TtB7pm6nEa",Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/Cdu9J5Ke1M,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/J803JH2J3q",Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/lvj2m7HFMo",Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/Iukqzp1qEe",Biruk Yirga
 8.99685384,38.7861961,Just posted a photo @ Best Western Plus Addis Ababa https://t.co/tC3XK9MOrz,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/SfaXSRYyN0,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/2iFbLcl0IV,Biruk Yirga
 9.04377778,38.76125,Just posted a photo @ Yekatit 12 monument https://t.co/wwf9MLGmy3,Biruk Yirga
